index,symbol,name,sector,price,market_cap_b,health_score,healthy,caution,warning
1,AMD,"Advanced Micro Devices, Inc.",Technology,260.0,1300.0,84,7,2,1
2,INTC,Intel Corporation,Technology,102.0,510.0,88,7,3,0
3,ORCL,Oracle Corporation,Technology,104.0,520.0,88,7,3,0
4,CRM,"Salesforce, Inc.",Technology,276.0,1380.0,84,7,2,1
5,CSCO,"Cisco Systems, Inc.",Technology,96.0,480.0,88,7,3,0
6,ADBE,Adobe Inc.,Technology,68.0,340.0,88,7,3,0
7,TXN,TXN Corporation,General Business Sector,50.0,250.0,92,8,2,0
8,QCOM,QUALCOMM Incorporated,Technology,104.0,520.0,88,7,3,0
9,AVGO,Broadcom Inc.,Technology,101.0,505.0,88,7,3,0
10,ACN,ACN Corporation,General Business Sector,260.0,1300.0,84,7,2,1
11,IBM,IBM Corporation,General Business Sector,266.0,1330.0,84,7,2,1
12,NOW,NOW Corporation,General Business Sector,294.0,1470.0,84,7,2,1
13,UBER,UBER Corporation,General Business Sector,102.0,510.0,88,7,3,0
14,ABNB,ABNB Corporation,General Business Sector,75.0,375.0,88,7,3,0
15,PFE,Pfizer Inc.,Healthcare,269.0,1345.0,84,7,2,1
16,MRK,"Merck & Co., Inc.",Healthcare,284.0,1420.0,84,7,2,1
17,ABBV,AbbVie Inc.,Healthcare,83.0,415.0,88,7,3,0
18,UNH,UnitedHealth Group Incorporated,Healthcare,285.0,1425.0,84,7,2,1
19,BMY,Bristol-Myers Squibb Company,Healthcare,282.0,1410.0,84,7,2,1
20,AMGN,Amgen Inc.,Healthcare,91.0,455.0,88,7,3,0
21,GILD,"Gilead Sciences, Inc.",Healthcare,88.0,440.0,88,7,3,0
22,CVS,CVS Health Corporation,Healthcare,286.0,1430.0,84,7,2,1
23,CI,The Cigna Group,Healthcare,190.0,950.0,84,7,2,1
24,ISRG,ISRG Corporation,General Business Sector,109.0,545.0,88,7,3,0
25,VRTX,VRTX Corporation,General Business Sector,140.0,700.0,84,7,2,1
26,REGN,REGN Corporation,General Business Sector,100.0,500.0,88,7,3,0
27,MDT,MDT Corporation,General Business Sector,279.0,1395.0,84,7,2,1
28,DHR,DHR Corporation,General Business Sector,272.0,1360.0,84,7,2,1
29,SYK,SYK Corporation,General Business Sector,297.0,1485.0,84,7,2,1
30,BSX,BSX Corporation,General Business Sector,287.0,1435.0,84,7,2,1
31,TMO,TMO Corporation,General Business Sector,290.0,1450.0,84,7,2,1
32,ZTS,ZTS Corporation,General Business Sector,57.0,285.0,92,8,2,0
33,ELV,ELV Corporation,General Business Sector,281.0,1405.0,84,7,2,1
34,HUM,HUM Corporation,General Business Sector,284.0,1420.0,84,7,2,1
35,BA,The Boeing Company,Industrials,181.0,905.0,84,7,2,1
